created_at,source_name,title,observation,tags,trusted,confidence,used_for_execution,safety_note
2026-07-06T06:54:04Z,FXStreet News RSS,Japanese Yen: Intervention risks shape Dollar pullback – MUFG,"Japanese Yen: Intervention risks shape Dollar pullback – MUFG MUFG’s Teppei Ino reviews recent USD/JPY price action, noting the pair opened near 161.78 and briefly tested the 162.84 area before reversing. The report highlights Dollar weakness after comments from Fed Chair Kevin Warsh and a softer US employment report.","forex,macro,market_news,risk,usd,usdjpy",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:04Z,FXStreet News RSS,GBP/USD Price Forecast: Pound dips below 1.3350 with bullish momentum losing steam,"GBP/USD Price Forecast: Pound dips below 1.3350 with bullish momentum losing steam The British Pound (GBP) ticks lower against the US Dollar (USD) Monday, attempting to close a seven-day rally, as tensions rise again in the Strait of Hormuz, one of the critical points in the peace process between Washington and Tehran.","forex,gbpusd,macro,market_news,usd",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:04Z,FXStreet News RSS,"Swiss Franc declines as US Dollar rebounds, eyes on US Services PMI","Swiss Franc declines as US Dollar rebounds, eyes on US Services PMI The Swiss Franc (CHF) faces selling pressure against the US Dollar (USD) at the start of the week. The USD/CHF pair is down 0.25% to near 0.8055 during the European trading session as the US Dollar rebounds despite traders reconsidering Federal Reserve (Fed) interest rate hike expectations.","eurusd,forex,macro,market_news,rates,usd",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:04Z,FXStreet News RSS,British Pound: Overbought rally still eyeing 1.3410 against US Dollar – UOB,"British Pound: Overbought rally still eyeing 1.3410 against US Dollar – UOB United Overseas Bank’s (UOB) Quek Ser Leang notes GBP/USD remains elevated after last week’s surge, with scope for a modest pullback confined to 1.3320–1.3375 intraday and limited risk of a clear break below 1.3320.","forex,gbpusd,macro,market_news,usd",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:04Z,FXStreet News RSS,Euro: ECB support offsets Dollar strength – Commerzbank,"Euro: ECB support offsets Dollar strength – Commerzbank Commerzbank’s Michael Pfister argues that recent EUR/USD weakness reflects a stronger US Dollar (USD) rather than a fundamentally weak Euro (EUR), as the Euro has outperformed the G10 average.","eurusd,forex,macro,market_news,technical,usd",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:04Z,FXStreet News RSS,"Germany Factory Orders rises 1.9% in May, beats 1.2% estimates","Germany Factory Orders rises 1.9% in May, beats 1.2% estimates Germany's Factory Orders jumps 1.9% in May, faster than 1.2% estimates, according to the official data published by the Federal Statistics Office on Monday. In April, the economic data was declined by 3.2%, revised higher from -3.8%.","forex,macro,market_news,usd",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:04Z,FXStreet News RSS,EUR/USD Price Forecast: 20-day EMA acts as key barrier near 1.1460,EUR/USD Price Forecast: 20-day EMA acts as key barrier near 1.1460 The EUR/USD pair trades marginally lower to near 1.1428 during the early European trading session on Monday. The major currency pair faces slight selling pressure as the US Dollar (USD) gains ground after a negative weekly close.,"eurusd,forex,macro,market_news,usd",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:04Z,FXStreet News RSS,Indonesian Rupiah weakens as Fed hike bets lift US Dollar,"Indonesian Rupiah weakens as Fed hike bets lift US Dollar USD/IDR rises for the second successive day, trading around 18,040 during the Asian hours on Monday. The pair appreciates as the US Dollar receives support from prevailing market expectations of Federal Reserve (Fed) interest rate hikes later this year.","forex,macro,market_news,rates,technical,usd",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:05Z,Yahoo Finance FX/Gold Headlines,China’s Biggest ETF Is Now a Gold Fund as National Team Retreats,"China’s Biggest ETF Is Now a Gold Fund as National Team Retreats (Bloomberg) -- A China spot gold ETF has overtaken the Huatai-PineBridge CSI 300 ETF to become the country’s largest exchange-traded fund, highlighting the extent to which state-backed support for the stock market has faded.Most Read from BloombergOil, Gas Tankers Cross Hormuz Via Oman-Side Route After U-TurnsGreece Offers Bounty to Catch Ravenous Fish Lured by Warming SeaOil’s Supply Wave, Tumbling Prices Rekindle Fears of Global GlutBrazil Freezes $2 Billion, Pursues Arrests After US SanctionW","crypto,forex,gold,headlines,inflation,risk,technical",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:05Z,Yahoo Finance FX/Gold Headlines,NewPeak Metals soars more than 100% intraday after Las Opeñas discovery,"NewPeak Metals soars more than 100% intraday after Las Opeñas discovery NewPeak Metals Ltd (ASX:NPM, OTC:NPMFF, FRA:NPM) shares surged in morning trade after the company confirmed a large-scale gold-zinc-silver discovery from the first hole of its 2026 drilling program at the 100%-owned Las Opeñas Gold Project in San Juan Province, Argentina. The stock surged as...","crypto,forex,gold,headlines,silver",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:05Z,Yahoo Finance FX/Gold Headlines,"Greatland tops FY26 guidance with 328,986 ounces of gold","Greatland tops FY26 guidance with 328,986 ounces of gold Greatland Resources Ltd (AIM:GGP, OTC:GRLGF, ASX:GGP) has delivered full-year gold production of 328,986 ounces, beating the top end of its FY26 guidance range after producing 79,099 ounces in the June quarter. The Western Australian gold and copper producer also reported June quarter copper...","crypto,forex,gold,headlines",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:05Z,Yahoo Finance FX/Gold Headlines,AngloGold Ashanti PLC (AU) Faces Diverging Analyst Views Amid Market and Regulatory Shifts,"AngloGold Ashanti PLC (AU) Faces Diverging Analyst Views Amid Market and Regulatory Shifts AngloGold Ashanti PLC (NYSE:AU) is one of the best dividend stocks yielding at least 5% to buy according to hedge funds. On June 26, Freedom Broker initiated coverage of AngloGold Ashanti (NYSE: AU) with a Buy rating and a $114 price target, citing the company’s position at a “strategic inflection point.” In its research note, […]","crypto,forex,gold,headlines,rates",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:05Z,Yahoo Finance FX/Gold Headlines,"Which Crypto Can Make You a Millionaire by 2030 With $10,000? We Compared XRP, BTC, ETH, SOL, and HYPE","Which Crypto Can Make You a Millionaire by 2030 With $10,000? We Compared XRP, BTC, ETH, SOL, and HYPE Everyone wants the same thing from crypto: put in a little now and pull out a fortune later. So let’s actually run the numbers. If you dropped $10,000 into one coin today and wanted $1 million by 2030, which one gives you the best shot? We compared five of the most talked-about coins—XRP (CRYPTO:XRP), Bitcoin ... Which Crypto Can Make You a Millionaire by 2030 With $10,000? We Compared XRP, BTC, ETH, SOL, and HYPE","btc,crypto,forex,gold,headlines",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:05Z,Yahoo Finance FX/Gold Headlines,"Peter Brandt Eyes Selling Bitcoin to Invest in Gold, and Here is Why","Peter Brandt Eyes Selling Bitcoin to Invest in Gold, and Here is Why Veteran trader Peter Brandt eyes selling Bitcoin to invest in gold, citing a bullish XAU/BTC ratio breakout on his chart.","btc,crypto,forex,gold,headlines,technical",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:05Z,Yahoo Finance FX/Gold Headlines,Gold Was Volatile in the First Half of 2026. Here's How to Invest in Gold for the Rest of the Year.,"Gold Was Volatile in the First Half of 2026. Here's How to Invest in Gold for the Rest of the Year. The volatility in gold looks set to continue, but the underlying fundamentals favor taking a positive long-term view on the gold price.","crypto,forex,gold,headlines",True,medium,False,Context only. This internet observation cannot place or force trades.
2026-07-06T06:54:05Z,Yahoo Finance FX/Gold Headlines,JPMorgan tweaks gold price target as Fed risks return,"JPMorgan tweaks gold price target as Fed risks return Gold prices seemed to be mounting a comeback, but JPMorgan just made the rally harder to trust. Investors expected the shiny yellow metal to continue pushing higher into year's end, buoyed by rate-cut hopes, central-bank buying, and safe-haven demand. Reuters reported that spot gold was up over 2% ...","crypto,forex,gold,headlines,inflation,rates,usd",True,medium,False,Context only. This internet observation cannot place or force trades.
